MTrk
0 Meta TrkName "charlene"
0 Tempo 550458
0 TimeSig 4/4 24 8
60960 On ch=6 n=13 v=100
61200 Off ch=6 n=13 v=64
61440 On ch=6 n=12 v=100
61680 Off ch=6 n=12 v=64
61920 On ch=6 n=13 v=100
62160 Off ch=6 n=13 v=64
62400 On ch=6 n=13 v=100
62640 Off ch=6 n=13 v=64
62880 On ch=6 n=13 v=100
63120 Off ch=6 n=13 v=64
63360 On ch=6 n=12 v=100
63600 Off ch=6 n=12 v=64
63840 On ch=6 n=13 v=100
64080 Off ch=6 n=13 v=64
64320 On ch=6 n=13 v=100
64560 Off ch=6 n=13 v=64
64800 On ch=6 n=13 v=100
65040 Off ch=6 n=13 v=64
65280 On ch=6 n=12 v=100
65520 Off ch=6 n=12 v=64
65760 On ch=6 n=13 v=100
66000 Off ch=6 n=13 v=64
66240 On ch=6 n=13 v=100
66480 Off ch=6 n=13 v=64
66720 On ch=6 n=13 v=100
66960 Off ch=6 n=13 v=64
67200 On ch=6 n=12 v=100
67440 Off ch=6 n=12 v=64
67680 On ch=6 n=13 v=100
67920 Off ch=6 n=13 v=64
68160 On ch=6 n=13 v=100
68400 Off ch=6 n=13 v=64
68640 On ch=6 n=13 v=100
68880 Off ch=6 n=13 v=64
69120 On ch=6 n=12 v=100
69360 Off ch=6 n=12 v=64
69600 On ch=6 n=13 v=100
69840 Off ch=6 n=13 v=64
70080 On ch=6 n=13 v=100
70320 Off ch=6 n=13 v=64
70320 Meta TrkEnd
TrkEnd
MTrk
0 Meta TrkName "PART DRUMS"
0 Meta Text "[mix 0 drums1easy]"
60 Meta Text "[mix 1 drums1]"
120 Meta Text "[mix 2 drums1]"
180 Meta Text "[mix 3 drums1]"
3720 Meta Text "[play]"
3720 On ch=1 n=25 v=100
3840 Off ch=1 n=25 v=64
3840 On ch=1 n=24 v=100
3840 On ch=1 n=31 v=100
3840 On ch=1 n=60 v=100
3840 On ch=1 n=72 v=100
3840 On ch=1 n=74 v=100
3840 On ch=1 n=84 v=100
3840 On ch=1 n=86 v=100
3840 On ch=1 n=96 v=100
3840 On ch=1 n=98 v=100
3840 On ch=1 n=105 v=100
3960 Off ch=1 n=24 v=64
3960 Off ch=1 n=31 v=64
3960 Off ch=1 n=60 v=64
3960 Off ch=1 n=72 v=64
3960 Off ch=1 n=74 v=64
3960 Off ch=1 n=84 v=64
3960 Off ch=1 n=86 v=64
3960 Off ch=1 n=96 v=64
3960 Off ch=1 n=98 v=64
4080 On ch=1 n=31 v=100
4080 On ch=1 n=74 v=100
4080 On ch=1 n=86 v=100
4080 On ch=1 n=98 v=100
4200 Off ch=1 n=31 v=64
4200 Off ch=1 n=74 v=64
4200 Off ch=1 n=86 v=64
4200 Off ch=1 n=98 v=64
4320 On ch=1 n=24 v=100
4320 On ch=1 n=26 v=100
4320 On ch=1 n=31 v=100
4320 On ch=1 n=61 v=100
4320 On ch=1 n=73 v=100
4320 On ch=1 n=74 v=100
4320 On ch=1 n=85 v=100
4320 On ch=1 n=86 v=100
4320 On ch=1 n=96 v=100
4320 On ch=1 n=97 v=100
4320 On ch=1 n=98 v=100
4440 Off ch=1 n=24 v=64
4440 Off ch=1 n=26 v=64
4440 Off ch=1 n=31 v=64
4440 Off ch=1 n=61 v=64
4440 Off ch=1 n=73 v=64
4440 Off ch=1 n=74 v=64
4440 Off ch=1 n=85 v=64
4440 Off ch=1 n=86 v=64
4440 Off ch=1 n=96 v=64
4440 Off ch=1 n=97 v=64
4440 Off ch=1 n=98 v=64
4560 On ch=1 n=31 v=100
4560 On ch=1 n=74 v=100
4560 On ch=1 n=86 v=100
4560 On ch=1 n=98 v=100
4680 Off ch=1 n=31 v=64
4680 Off ch=1 n=74 v=64
4680 Off ch=1 n=86 v=64
4680 Off ch=1 n=98 v=64
4800 On ch=1 n=24 v=100
4800 On ch=1 n=31 v=100
4800 On ch=1 n=60 v=100
4800 On ch=1 n=74 v=100
4800 On ch=1 n=84 v=100
4800 On ch=1 n=86 v=100
4800 On ch=1 n=96 v=100
4800 On ch=1 n=98 v=100
4920 Off ch=1 n=24 v=64
4920 Off ch=1 n=31 v=64
4920 Off ch=1 n=60 v=64
4920 Off ch=1 n=74 v=64
4920 Off ch=1 n=84 v=64
4920 Off ch=1 n=86 v=64
4920 Off ch=1 n=96 v=64
4920 Off ch=1 n=98 v=64
5040 On ch=1 n=31 v=100
5040 On ch=1 n=74 v=100
5040 On ch=1 n=86 v=100
5040 On ch=1 n=98 v=100
5160 Off ch=1 n=31 v=64
5160 Off ch=1 n=74 v=64
5160 Off ch=1 n=86 v=64
5160 Off ch=1 n=98 v=64
5280 On ch=1 n=24 v=100
5280 On ch=1 n=26 v=100
5280 On ch=1 n=31 v=100
5280 On ch=1 n=61 v=100
5280 On ch=1 n=73 v=100
5280 On ch=1 n=74 v=100
5280 On ch=1 n=85 v=100
5280 On ch=1 n=86 v=100
5280 On ch=1 n=96 v=100
5280 On ch=1 n=97 v=100
5280 On ch=1 n=98 v=100
5400 Off ch=1 n=24 v=64
5400 Off ch=1 n=26 v=64
5400 Off ch=1 n=31 v=64
5400 Off ch=1 n=61 v=64
5400 Off ch=1 n=73 v=64
5400 Off ch=1 n=74 v=64
5400 Off ch=1 n=85 v=64
5400 Off ch=1 n=86 v=64
5400 Off ch=1 n=96 v=64
5400 Off ch=1 n=97 v=64
5400 Off ch=1 n=98 v=64
5520 On ch=1 n=31 v=100
5520 On ch=1 n=74 v=100
5520 On ch=1 n=86 v=100
5520 On ch=1 n=98 v=100
5640 Off ch=1 n=31 v=64
5640 Off ch=1 n=74 v=64
5640 Off ch=1 n=86 v=64
5640 Off ch=1 n=98 v=64
5760 Off ch=1 n=105 v=64
5760 On ch=1 n=24 v=100
5760 On ch=1 n=31 v=100
5760 On ch=1 n=60 v=100
5760 On ch=1 n=72 v=100
5760 On ch=1 n=74 v=100
5760 On ch=1 n=84 v=100
5760 On ch=1 n=86 v=100
5760 On ch=1 n=96 v=100
5760 On ch=1 n=98 v=100
5760 On ch=1 n=106 v=100
5880 Off ch=1 n=24 v=64
5880 Off ch=1 n=31 v=64
5880 Off ch=1 n=60 v=64
5880 Off ch=1 n=72 v=64
5880 Off ch=1 n=74 v=64
5880 Off ch=1 n=84 v=64
5880 Off ch=1 n=86 v=64
5880 Off ch=1 n=96 v=64
5880 Off ch=1 n=98 v=64
6000 On ch=1 n=31 v=100
6000 On ch=1 n=74 v=100
6000 On ch=1 n=86 v=100
6000 On ch=1 n=98 v=100
6120 Off ch=1 n=31 v=64
6120 Off ch=1 n=74 v=64
6120 Off ch=1 n=86 v=64
6120 Off ch=1 n=98 v=64
6240 On ch=1 n=24 v=100
6240 On ch=1 n=26 v=100
6240 On ch=1 n=31 v=100
6240 On ch=1 n=61 v=100
6240 On ch=1 n=73 v=100
6240 On ch=1 n=74 v=100
6240 On ch=1 n=85 v=100
6240 On ch=1 n=86 v=100
6240 On ch=1 n=96 v=100
6240 On ch=1 n=97 v=100
6240 On ch=1 n=98 v=100
6360 Off ch=1 n=24 v=64
6360 Off ch=1 n=26 v=64
6360 Off ch=1 n=31 v=64
6360 Off ch=1 n=61 v=64
6360 Off ch=1 n=73 v=64
6360 Off ch=1 n=74 v=64
6360 Off ch=1 n=85 v=64
6360 Off ch=1 n=86 v=64
6360 Off ch=1 n=96 v=64
6360 Off ch=1 n=97 v=64
6360 Off ch=1 n=98 v=64
6480 On ch=1 n=31 v=100
6480 On ch=1 n=74 v=100
6480 On ch=1 n=86 v=100
6480 On ch=1 n=98 v=100
6600 Off ch=1 n=31 v=64
6600 Off ch=1 n=74 v=64
6600 Off ch=1 n=86 v=64
6600 Off ch=1 n=98 v=64
6720 On ch=1 n=24 v=100
6720 On ch=1 n=31 v=100
6720 On ch=1 n=60 v=100
6720 On ch=1 n=74 v=100
6720 On ch=1 n=84 v=100
6720 On ch=1 n=86 v=100
6720 On ch=1 n=96 v=100
6720 On ch=1 n=98 v=100
6840 Off ch=1 n=24 v=64
6840 Off ch=1 n=31 v=64
6840 Off ch=1 n=60 v=64
6840 Off ch=1 n=74 v=64
6840 Off ch=1 n=84 v=64
6840 Off ch=1 n=86 v=64
6840 Off ch=1 n=96 v=64
6840 Off ch=1 n=98 v=64
6960 On ch=1 n=31 v=100
6960 On ch=1 n=74 v=100
6960 On ch=1 n=86 v=100
6960 On ch=1 n=98 v=100
7080 Off ch=1 n=31 v=64
7080 Off ch=1 n=74 v=64
7080 Off ch=1 n=86 v=64
7080 Off ch=1 n=98 v=64
7200 On ch=1 n=24 v=100
7200 On ch=1 n=26 v=100
7200 On ch=1 n=31 v=100
7200 On ch=1 n=61 v=100
7200 On ch=1 n=73 v=100
7200 On ch=1 n=74 v=100
7200 On ch=1 n=85 v=100
7200 On ch=1 n=86 v=100
7200 On ch=1 n=96 v=100
7200 On ch=1 n=97 v=100
7200 On ch=1 n=98 v=100
7320 Off ch=1 n=24 v=64
7320 Off ch=1 n=26 v=64
7320 Off ch=1 n=31 v=64
7320 Off ch=1 n=61 v=64
7320 Off ch=1 n=73 v=64
7320 Off ch=1 n=74 v=64
7320 Off ch=1 n=85 v=64
7320 Off ch=1 n=86 v=64
7320 Off ch=1 n=96 v=64
7320 Off ch=1 n=97 v=64
7320 Off ch=1 n=98 v=64
7440 On ch=1 n=31 v=100
7440 On ch=1 n=74 v=100
7440 On ch=1 n=86 v=100
7440 On ch=1 n=98 v=100
7560 Off ch=1 n=31 v=64
7560 Off ch=1 n=74 v=64
7560 Off ch=1 n=86 v=64
7560 Off ch=1 n=98 v=64
7680 On ch=1 n=24 v=100
7680 On ch=1 n=31 v=100
7680 On ch=1 n=60 v=100
7680 On ch=1 n=72 v=100
7680 On ch=1 n=74 v=100
7680 On ch=1 n=84 v=100
7680 On ch=1 n=86 v=100
7680 On ch=1 n=96 v=100
7680 On ch=1 n=98 v=100
7680 On ch=1 n=105 v=100
7800 Off ch=1 n=24 v=64
7800 Off ch=1 n=31 v=64
7800 Off ch=1 n=60 v=64
7800 Off ch=1 n=72 v=64
7800 Off ch=1 n=74 v=64
7800 Off ch=1 n=84 v=64
7800 Off ch=1 n=86 v=64
7800 Off ch=1 n=96 v=64
7800 Off ch=1 n=98 v=64
7920 On ch=1 n=31 v=100
7920 On ch=1 n=74 v=100
7920 On ch=1 n=86 v=100
7920 On ch=1 n=98 v=100
8040 Off ch=1 n=31 v=64
8040 Off ch=1 n=74 v=64
8040 Off ch=1 n=86 v=64
8040 Off ch=1 n=98 v=64
8160 Meta Text "[mix 0 drums1]"
8160 On ch=1 n=24 v=100
8160 On ch=1 n=26 v=100
8160 On ch=1 n=31 v=100
8160 On ch=1 n=61 v=100
8160 On ch=1 n=73 v=100
8160 On ch=1 n=74 v=100
8160 On ch=1 n=85 v=100
8160 On ch=1 n=86 v=100
8160 On ch=1 n=96 v=100
8160 On ch=1 n=97 v=100
8160 On ch=1 n=98 v=100
8280 Off ch=1 n=24 v=64
8280 Off ch=1 n=26 v=64
8280 Off ch=1 n=31 v=64
8280 Off ch=1 n=61 v=64
8280 Off ch=1 n=73 v=64
8280 Off ch=1 n=74 v=64
8280 Off ch=1 n=85 v=64
8280 Off ch=1 n=86 v=64
8280 Off ch=1 n=96 v=64
8280 Off ch=1 n=97 v=64
8280 Off ch=1 n=98 v=64
8400 On ch=1 n=47 v=100
8400 On ch=1 n=63 v=100
8400 On ch=1 n=75 v=100
8400 On ch=1 n=87 v=100
8400 On ch=1 n=99 v=100
8400 On ch=1 n=111 v=100
8520 Off ch=1 n=47 v=64
8520 Off ch=1 n=63 v=64
8520 Off ch=1 n=75 v=64
8520 Off ch=1 n=87 v=64
8520 Off ch=1 n=99 v=64
8520 Off ch=1 n=111 v=64
8640 On ch=1 n=24 v=100
8640 On ch=1 n=47 v=100
8640 On ch=1 n=64 v=100
8640 On ch=1 n=76 v=100
8640 On ch=1 n=84 v=100
8640 On ch=1 n=88 v=100
8640 On ch=1 n=96 v=100
8640 On ch=1 n=100 v=100
8640 On ch=1 n=112 v=100
8760 Off ch=1 n=24 v=64
8760 Off ch=1 n=47 v=64
8760 Off ch=1 n=64 v=64
8760 Off ch=1 n=76 v=64
8760 Off ch=1 n=84 v=64
8760 Off ch=1 n=88 v=64
8760 Off ch=1 n=96 v=64
8760 Off ch=1 n=100 v=64
8760 Off ch=1 n=112 v=64
8880 On ch=1 n=31 v=100
8880 On ch=1 n=86 v=100
8880 On ch=1 n=98 v=100
9000 Off ch=1 n=31 v=64
9000 Off ch=1 n=86 v=64
9000 Off ch=1 n=98 v=64
9120 On ch=1 n=24 v=100
9120 On ch=1 n=26 v=100
9120 On ch=1 n=31 v=100
9120 On ch=1 n=61 v=100
9120 On ch=1 n=73 v=100
9120 On ch=1 n=74 v=100
9120 On ch=1 n=85 v=100
9120 On ch=1 n=86 v=100
9120 On ch=1 n=96 v=100
9120 On ch=1 n=97 v=100
9120 On ch=1 n=98 v=100
9240 Off ch=1 n=24 v=64
9240 Off ch=1 n=26 v=64
9240 Off ch=1 n=31 v=64
9240 Off ch=1 n=61 v=64
9240 Off ch=1 n=73 v=64
9240 Off ch=1 n=74 v=64
9240 Off ch=1 n=85 v=64
9240 Off ch=1 n=86 v=64
9240 Off ch=1 n=96 v=64
9240 Off ch=1 n=97 v=64
9240 Off ch=1 n=98 v=64
9360 On ch=1 n=31 v=100
9360 On ch=1 n=74 v=100
9360 On ch=1 n=86 v=100
9360 On ch=1 n=98 v=100
9480 Off ch=1 n=31 v=64
9480 Off ch=1 n=74 v=64
9480 Off ch=1 n=86 v=64
9480 Off ch=1 n=98 v=64
9600 Off ch=1 n=106 v=64
9600 On ch=1 n=12 v=100
9600 On ch=1 n=24 v=100
9600 On ch=1 n=31 v=100
9600 On ch=1 n=60 v=100
9600 On ch=1 n=72 v=100
9600 On ch=1 n=74 v=100
9600 On ch=1 n=84 v=100
9600 On ch=1 n=86 v=100
9600 On ch=1 n=96 v=100
9600 On ch=1 n=98 v=100
9600 On ch=1 n=116 v=100
9720 Off ch=1 n=12 v=64
9720 Off ch=1 n=24 v=64
9720 Off ch=1 n=31 v=64
9720 Off ch=1 n=60 v=64
9720 Off ch=1 n=72 v=64
9720 Off ch=1 n=74 v=64
9720 Off ch=1 n=84 v=64
9720 Off ch=1 n=86 v=64
9720 Off ch=1 n=96 v=64
9720 Off ch=1 n=98 v=64
9840 On ch=1 n=31 v=100
9840 On ch=1 n=74 v=100
9840 On ch=1 n=86 v=100
9840 On ch=1 n=98 v=100
9960 Off ch=1 n=31 v=64
9960 Off ch=1 n=74 v=64
9960 Off ch=1 n=86 v=64
9960 Off ch=1 n=98 v=64
10080 On ch=1 n=24 v=100
10080 On ch=1 n=26 v=100
10080 On ch=1 n=31 v=100
10080 On ch=1 n=61 v=100
10080 On ch=1 n=73 v=100
10080 On ch=1 n=74 v=100
10080 On ch=1 n=85 v=100
10080 On ch=1 n=86 v=100
10080 On ch=1 n=96 v=100
10080 On ch=1 n=97 v=100
10080 On ch=1 n=98 v=100
10200 Off ch=1 n=24 v=64
10200 Off ch=1 n=26 v=64
10200 Off ch=1 n=31 v=64
10200 Off ch=1 n=61 v=64
10200 Off ch=1 n=73 v=64
10200 Off ch=1 n=74 v=64
10200 Off ch=1 n=85 v=64
10200 Off ch=1 n=86 v=64
10200 Off ch=1 n=96 v=64
10200 Off ch=1 n=97 v=64
10200 Off ch=1 n=98 v=64
10320 On ch=1 n=31 v=100
10320 On ch=1 n=74 v=100
10320 On ch=1 n=86 v=100
10320 On ch=1 n=98 v=100
10440 Off ch=1 n=31 v=64
10440 Off ch=1 n=74 v=64
10440 Off ch=1 n=86 v=64
10440 Off ch=1 n=98 v=64
10560 On ch=1 n=24 v=100
10560 On ch=1 n=31 v=100
10560 On ch=1 n=60 v=100
10560 On ch=1 n=74 v=100
10560 On ch=1 n=84 v=100
10560 On ch=1 n=86 v=100
10560 On ch=1 n=96 v=100
10560 On ch=1 n=98 v=100
10680 Off ch=1 n=24 v=64
10680 Off ch=1 n=31 v=64
10680 Off ch=1 n=60 v=64
10680 Off ch=1 n=74 v=64
10680 Off ch=1 n=84 v=64
10680 Off ch=1 n=86 v=64
10680 Off ch=1 n=96 v=64
10680 Off ch=1 n=98 v=64
10800 On ch=1 n=31 v=100
10800 On ch=1 n=74 v=100
10800 On ch=1 n=86 v=100
10800 On ch=1 n=98 v=100
10920 Off ch=1 n=31 v=64
10920 Off ch=1 n=74 v=64
10920 Off ch=1 n=86 v=64
10920 Off ch=1 n=98 v=64
11040 On ch=1 n=24 v=100
11040 On ch=1 n=26 v=100
11040 On ch=1 n=31 v=100
11040 On ch=1 n=61 v=100
11040 On ch=1 n=73 v=100
11040 On ch=1 n=74 v=100
11040 On ch=1 n=85 v=100
11040 On ch=1 n=86 v=100
11040 On ch=1 n=96 v=100
11040 On ch=1 n=97 v=100
11040 On ch=1 n=98 v=100
11160 Off ch=1 n=24 v=64
11160 Off ch=1 n=26 v=64
11160 Off ch=1 n=31 v=64
11160 Off ch=1 n=61 v=64
11160 Off ch=1 n=73 v=64
11160 Off ch=1 n=74 v=64
11160 Off ch=1 n=85 v=64
11160 Off ch=1 n=86 v=64
11160 Off ch=1 n=96 v=64
11160 Off ch=1 n=97 v=64
11160 Off ch=1 n=98 v=64
11280 On ch=1 n=31 v=100
11280 On ch=1 n=74 v=100
11280 On ch=1 n=86 v=100
11280 On ch=1 n=98 v=100
11400 Off ch=1 n=31 v=64
11400 Off ch=1 n=74 v=64
11400 Off ch=1 n=86 v=64
11400 Off ch=1 n=98 v=64
11520 Off ch=1 n=116 v=64
11520 On ch=1 n=24 v=100
11520 On ch=1 n=31 v=100
11520 On ch=1 n=60 v=100
11520 On ch=1 n=72 v=100
11520 On ch=1 n=74 v=100
11520 On ch=1 n=84 v=100
11520 On ch=1 n=86 v=100
11520 On ch=1 n=96 v=100
11520 On ch=1 n=98 v=100
11520 On ch=1 n=106 v=100
11520 On ch=1 n=120 v=100
11520 On ch=1 n=121 v=100
11520 On ch=1 n=122 v=100
11520 On ch=1 n=123 v=100
11520 On ch=1 n=124 v=100
11640 Off ch=1 n=24 v=64
11640 Off ch=1 n=31 v=64
11640 Off ch=1 n=60 v=64
11640 Off ch=1 n=72 v=64
11640 Off ch=1 n=74 v=64
11640 Off ch=1 n=84 v=64
11640 Off ch=1 n=86 v=64
11640 Off ch=1 n=96 v=64
11640 Off ch=1 n=98 v=64
11760 On ch=1 n=47 v=100
11760 On ch=1 n=62 v=100
11760 On ch=1 n=75 v=100
11760 On ch=1 n=87 v=100
11760 On ch=1 n=99 v=100
11760 On ch=1 n=111 v=100
11880 Off ch=1 n=47 v=64
11880 Off ch=1 n=62 v=64
11880 Off ch=1 n=75 v=64
11880 Off ch=1 n=87 v=64
