short_name,guitar_easy,guitar_medium,guitar_hard,guitar_expert,bass_easy,bass_medium,bass_hard,bass_expert,drums_easy,drums_medium,drums_hard,drums_expert,guitar_base_easy,guitar_base_medium,guitar_base_hard,guitar_base_expert,bass_base_easy,bass_base_medium,bass_base_hard,bass_base_expert,drums_base_easy,drums_base_medium,drums_base_hard,drums_base_expert,drums_allfills_easy,drums_allfills_medium,drums_allfills_hard,drums_allfills_expert,percussion_hits,nonpercussion_phrases,length
burnrz,166,270,450,665,157,304,480,753,367,609,762,863,4306,9331,14272,20436,3925,7624,12132,18957,9175,15225,19050,21575,7300,12175,14750,16275,0,32,175.803052
burnyoudown,131,214,309,364,136,222,353,403,418,610,772,883,4025,6164,14165,16247,4600,6750,10046,11296,10450,15250,19300,22075,8150,11850,14500,16400,0,44,204.186469
byebyelove,388,570,720,797,362,609,672,692,823,1384,1584,1740,10393,18627,23960,25897,10205,16587,18525,19025,20575,34600,39600,43500,16175,27200,30950,33425,87,33,256.08304475
byob,269,485,812,1590,251,436,719,1426,707,958,1637,2225,6743,16408,28380,51019,6311,10942,18023,35785,17675,23950,40925,55625,14375,19450,32725,44400,0,57,257.7914025
californiauberalles,286,393,672,811,271,463,805,914,573,862,1551,2091,7994,18601,31347,37123,6870,12026,20887,23602,14325,21550,38775,52275,11300,16675,29950,40400,0,48,211.4763015
callingdrlove,177,231,403,450,240,311,455,455,741,947,1057,1254,6150,10135,15346,18302,6875,9419,13290,13730,18525,23675,26425,31350,15625,20000,22000,25775,44,32,209.154654
callme,228,260,308,352,313,504,504,534,611,962,1339,1672,9591,18350,20570,22171,7849,12624,12624,13617,15275,24050,33475,41800,11825,18925,26375,32125,37,27,221.096932
callmewhenyouresober,171,256,409,553,177,294,381,455,446,723,939,1095,4629,11953,18608,24429,4689,7623,10914,12763,11150,18075,23475,27375,9100,14850,18825,21700,0,35,214.059416569
cameraeye,593,924,1304,1417,370,613,863,899,1743,2325,3728,4669,18510,30442,51440,62418,10408,16483,24686,28361,43575,58125,93200,116725,34275,45725,72325,89275,179,31,638.879043
caniplaywithmadness,223,365,629,1030,231,411,718,954,519,795,1135,1367,6063,15429,24623,38564,5775,10563,18238,24970,12975,19875,28375,34175,10275,15550,21850,25350,60,46,212.35657025
cantletgo,274,431,542,544,301,564,788,879,535,840,1156,1397,8590,14390,19103,25515,7720,14298,19898,22362,13425,21050,28950,34975,11150,17375,23450,28800,0,28,231.598328
cantletgo_lucinda,182,278,417,511,145,288,305,324,646,908,954,1221,5642,8051,16021,19635,3733,7308,7733,8361,16150,22700,23850,30525,12850,18325,19250,24700,40,41,209.879191
cantstandlosingyou,335,339,526,531,337,584,637,642,497,714,1085,1298,9298,17189,21864,24489,8713,14888,16177,16352,12425,17850,27125,32450,9900,14175,21425,25675,0,43,180.241663
cantstoprockin,251,366,560,887,275,519,728,870,764,1134,1656,1788,7830,15772,22806,32034,7478,13593,19064,23000,19100,28350,41400,44700,14525,21750,30925,32925,0,63,269.426151
capitalg,160,321,574,741,164,232,292,355,544,864,1438,2067,4000,8041,21253,29346,4820,7328,9434,11439,13600,21600,35950,51675,10700,16800,28200,40425,0,36,233.406336
capricididiablo,335,625,1143,2044,328,616,1056,1476,684,1082,1479,1826,9335,16648,30817,53318,8758,17382,30490,42087,17100,27050,36975,45650,13800,22000,29250,35075,0,0,270.878937
carryonwaywardson,326,499,707,968,334,452,654,804,838,1218,1524,1879,8444,14280,21706,29330,8985,13524,18602,22869,20950,30450,38100,46975,17450,24900,30375,37050,234,40,322.5259795
caseyjones,406,450,735,796,428,663,833,859,761,1279,1532,1878,11111,14586,22825,24601,10860,16915,21215,21915,19025,31975,38300,46950,14825,25450,29825,35725,24,45,268.58535675
catcherintherye,367,556,826,1070,201,395,658,712,717,1134,1560,1881,10466,18147,26951,34713,6051,11190,17994,19475,17925,28350,39000,47025,13625,21375,29225,33925,0,78,348.2515565
celebrityskin,266,342,460,558,193,322,549,572,379,612,931,1120,6767,11794,19119,23239,4825,8050,13725,14300,9500,15350,23325,28050,7925,12800,19075,23025,0,43,171.913748
centurycitylive,241,428,585,814,269,453,529,793,686,1034,1346,1664,6895,18067,26659,34689,7268,12120,16034,22645,17150,25850,33650,41600,13875,21125,26250,32050,27,44,213.65574425
charlene,90,103,134,146,66,74,82,82,235,340,387,458,3025,3865,5186,6125,1887,2801,3263,3318,5875,8500,9675,11450,4550,6900,7725,9000,22,10,80.642097
checkmybrain,231,401,507,639,244,378,525,629,530,743,982,1093,6550,14553,18778,22147,6118,10152,15366,17879,13250,18575,24550,27325,10675,15075,19650,21375,0,40,243.2886465
checkyesjuliet,299,556,935,1005,257,499,916,987,693,946,1266,1431,7559,22333,39777,42995,6605,12655,23149,24996,17325,23650,31650,35775,13875,18825,24900,27850,0,56,223.113501
cheeseburgerinparadise,133,211,372,544,126,233,336,414,460,658,1095,1317,3753,8636,15382,20031,3236,6736,9266,11741,11525,16500,27450,33025,9000,12775,21100,24650,24,38,184.137888
cherrybomb,248,288,457,471,294,333,513,530,412,585,922,1094,7967,8919,22904,23366,7401,8940,13491,13876,11975,16325,24750,29050,10825,14975,22400,26200,0,33,138.9746374
cherubrock,344,479,774,1032,351,741,1055,1092,756,1185,1589,1937,10686,16788,29286,39886,9777,18636,26728,27653,19050,29775,39875,48575,16750,26575,35100,42300,0,34,301.373306
chestfeverlive,325,632,875,1177,277,487,675,819,842,1224,1700,2051,8191,20020,27906,37352,7143,12703,17737,22092,21125,30750,42650,51625,17075,24350,33175,39600,0,34,289.914088
chinacatsunflower,362,565,989,1080,334,603,763,827,616,947,1134,1469,9398,14538,25266,27489,8383,15108,19767,21335,15400,23675,28350,36725,12425,18750,22450,29050,11,35,228.690352
chinesedemocracy,260,356,597,883,252,372,520,617,461,740,992,1156,7342,13034,21667,29342,6459,9465,13957,16382,11525,18500,24800,28900,9200,14700,19475,22300,0,39,259.587533
